Control Number,T1,T2,T3,T4,T5,T6,T7,T1_init,T2_init,T3_init,T4_init,T5_init,T6_init,T7_init,J1,J2,J3,J4,J5,J6,J7,Cube x,Cube y,Cube w,V1,V2,V3,V4,V5,V6,V7,Cube x V,Cube y V,Cube w V,
59,4.52181,-46.8206,3.64351,49.3276,-3.29499,9.12605,0.312597,1.75279,-32.6965,2.72331,35.125,0.00529622,1.62308,0.00169871,-0.126108,0.332802,0.0805049,-2.4811,-0.00275521,1.32376,0.021998,0.8,0.02,0,0.0566846,-0.167349,0.0422197,0.362705,0.101243,0.829996,0.629217,1.37668e-17,1.33227e-17,-1.39083e-15,
60,4.63803,-46.7767,3.6343,49.814,-2.67292,9.32963,0.902579,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.125916,0.33212,0.0806096,-2.47959,-0.00354762,1.32677,0.0223586,0.8,0.02,0,0.048034,-0.170605,0.026182,0.376573,-0.198101,0.752177,0.0901557,-4.44089e-19,6.21725e-18,-3.66008e-16,
61,4.66171,-46.7208,3.58467,49.7555,-2.609,9.26904,0.877858,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.125735,0.331434,0.0807072,-2.47809,-0.00460733,1.32977,0.0227365,0.8,0.02,0,0.0451444,-0.171537,0.0244036,0.376234,-0.264929,0.749928,0.0944715,-4.44089e-19,3.10862e-18,-3.11106e-16,
62,4.68167,-46.6653,3.53532,49.6954,-2.57426,9.22689,0.874962,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.125556,0.330745,0.0808032,-2.47659,-0.00573007,1.33276,0.0230938,0.8,0.02,0,0.0447328,-0.172214,0.0239899,0.374592,-0.280684,0.748045,0.0893238,-4.44089e-19,1.77636e-18,-2.56205e-16,
63,4.70141,-46.6106,3.48523,49.6346,-2.54787,9.19095,0.87782,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.125376,0.330055,0.0808983,-2.4751,-0.00686528,1.33574,0.0234455,0.8,0.02,0,0.0450138,-0.172503,0.0237689,0.37317,-0.283802,0.744976,0.0879351,-8.88178e-19,8.88178e-19,-1.83004e-16,
64,4.72192,-46.5567,3.43407,49.5734,-2.52402,9.15703,0.882176,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.125194,0.329365,0.0809925,-2.47361,-0.00799902,1.3387,0.0237971,0.8,0.02,0,0.0454533,-0.172492,0.0235585,0.371996,-0.283435,0.74139,0.0878995,-8.88178e-19,4.44089e-19,-1.09802e-16,
65,4.74348,-46.5035,3.38172,49.5122,-2.50104,9.12386,0.886815,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.125011,0.328676,0.0810857,-2.47212,-0.00912721,1.34165,0.0241501,0.8,0.02,0,0.0459122,-0.172277,0.0233118,0.370964,-0.282048,0.737652,0.0882462,-8.88178e-19,4.44089e-19,8.62817e-32,
66,4.76625,-46.4511,3.32807,49.451,-2.47843,9.0911,0.891364,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.124825,0.327988,0.0811778,-2.47064,-0.0102486,1.34459,0.0245049,0.8,0.02,0,0.0463568,-0.17193,0.0230185,0.37,-0.280342,0.733886,0.0886882,-1.33227e-18,4.44089e-19,7.32015e-17,
67,4.79029,-46.3995,3.27304,49.3898,-2.45604,9.05866,0.895702,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.124638,0.327302,0.0812685,-2.46917,-0.0113627,1.34751,0.0248614,0.8,0.02,0,0.0467821,-0.171495,0.0226789,0.369063,-0.278528,0.730124,0.0891417,-3.85186e-34,-4.44089e-19,-3.66008e-17,
68,4.81569,-46.3486,3.21655,49.3287,-2.43379,9.02653,0.899793,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.124449,0.326618,0.0813577,-2.4677,-0.0124694,1.35042,0.0252198,0.8,0.02,0,0.0471907,-0.171,0.0222962,0.368131,-0.276674,0.726373,0.0895808,4.44089e-19,-7.70372e-34,-1.28103e-16,
69,4.84254,-46.2984,3.15851,49.2678,-2.41156,8.99468,0.903698,1.72774,-32.5061,2.69116,35.0639,0.0252855,1.60495,0.00171864,-0.124259,0.325936,0.0814452,-2.46623,-0.0135686,1.35331,0.0255798,0.8,0.02,0,0.047587,-0.170465,0.0218738,0.367195,-0.274801,0.722633,0.0899981,8.88178e-19,-4.44089e-19,-9.15019e-17,
