initial rollout ,optimisation 1,optimisation 2,optimisation 3,optimisation 4,
3.07329,2.93669,1.80087,1.75791,1.74251,
3.07775,2.93886,1.80221,1.759,1.74351,
3.0822,2.94102,1.80354,1.7601,1.74452,
3.08665,2.94317,1.80488,1.76119,1.74552,
3.0911,2.94531,1.80621,1.76228,1.74652,
3.09555,2.94744,1.80754,1.76337,1.74752,
3.09999,2.94957,1.80887,1.76446,1.74852,
3.10443,2.95168,1.8102,1.76555,1.74951,
3.10887,2.95379,1.81153,1.76663,1.75051,
3.1133,2.95588,1.81285,1.76771,1.7515,
3.11773,2.95797,1.81418,1.76879,1.75249,
3.12216,2.96004,1.8155,1.76987,1.75347,
3.12659,2.96211,1.81682,1.77094,1.75445,
3.13101,2.96417,1.81814,1.77202,1.75544,
3.13543,2.96622,1.81947,1.77309,1.75641,
3.13985,2.96826,1.82079,1.77416,1.75739,
3.14427,2.9703,1.8221,1.77523,1.75837,
3.14868,2.97232,1.82342,1.77629,1.75934,
3.15309,2.97434,1.82474,1.77736,1.76031,
3.1575,2.97634,1.82605,1.77842,1.76128,
3.16191,2.97834,1.82737,1.77948,1.76224,
3.16631,2.98033,1.82868,1.78054,1.76321,
3.17071,2.98232,1.82999,1.7816,1.76417,
3.17511,2.98429,1.8313,1.78265,1.76513,
3.1795,2.98626,1.83261,1.7837,1.76609,
3.1839,2.98823,1.83392,1.78476,1.76704,
3.18829,2.99018,1.83523,1.78581,1.768,
3.19267,2.99213,1.83655,1.78686,1.76895,
3.19706,2.99408,1.83785,1.78791,1.7699,
3.20144,2.99602,1.83916,1.78896,1.77084,
3.20582,2.99796,1.84047,1.79001,1.77179,
3.2102,2.9999,1.84177,1.79107,1.77273,
3.21457,3.00184,1.84307,1.79212,1.77367,
3.21895,3.00377,1.84437,1.79317,1.77461,
3.22332,3.0069,1.84567,1.79422,1.77554,
3.22768,3.01096,1.84802,1.79526,1.77649,
